epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,58,2.9e-06,2.85829,3.18327,2.2927,1,-0.00366369,0,0.0122345,0.0107082,0,0.01,0.848485,17599.7,1,1,172.762,0.999884,172.742,15.3877,0.129974,406,2.85825
0,59,2.95e-06,3.13189,4.14553,2.11825,1,-0.00313202,0,0.0104626,0.00979281,0,0.01,0.850746,17598.5,1,1,197.676,0.999799,197.637,15.0112,0.133233,338.5,3.13186
0,60,3e-06,2.68749,2.86227,2.11825,1,-0.00344626,0,0.0115082,0.0105258,0,0.01,0.852941,17599.8,1,1,181.189,0.999892,181.169,15.8391,0.12627,426.5,2.68745
0,61,3.05e-06,2.18965,1.55195,2.11825,1,-0.00339582,0,0.0113392,0.0103594,0,0.01,0.855072,17597,1,1,114.545,0.999907,114.534,15.0608,0.132795,595,2.18962
0,62,3.1e-06,2.95403,2.33735,2.11825,1,-0.00316207,0,0.01056,0.00988064,0,0.01,0.857143,17603.3,1,1,129.996,0.999723,129.96,16.0036,0.124972,375.5,2.954
0,63,3.15e-06,2.78216,3.91055,2.11825,1,-0.00304374,0,0.0101678,0.00959169,0,0.01,0.859155,17600.8,1,1,182.339,0.999863,182.314,16.0185,0.124856,435,2.78213
0,64,3.2e-06,1.79507,2.26564,2.11825,1,-0.00326851,0,0.0109138,0.0102535,0,0.01,0.861111,17601.1,1,1,79.0495,0.999887,79.0405,15.4315,0.129605,724,1.79504
0,65,3.25e-06,3.06763,2.85537,2.11825,1,-0.00343731,0,0.0114774,0.0101371,0,0.01,0.863014,17602.3,1,1,102.15,0.99959,102.108,15.9029,0.125763,320,3.06759
0,66,3.3e-06,1.84415,1.90701,1.78129,1,-0.00342759,0,0.011446,0.0105701,0,0.01,0.864865,17602,1,1,180.895,0.999974,180.89,15.9333,0.125523,678,1.84412
0,67,3.35e-06,2.38792,2.35807,1.78129,1,-0.00349862,0,0.011683,0.0106528,0,0.01,0.866667,17601.9,1,1,179.584,0.999957,179.576,15.2369,0.13126,529,2.38788
0,68,3.4e-06,1.9604,2.13465,1.78129,1,-0.00329529,0,0.0110035,0.0102865,0,0.01,0.868421,17604.8,1,1,129.665,0.999953,129.659,15.9448,0.125433,665,1.96036
0,69,3.45e-06,2.51294,2.61132,1.78129,1,-0.00324284,0,0.0108274,0.0100668,0,0.01,0.87013,17604.9,1,1,101.919,0.999824,101.901,16.1408,0.123909,471,2.51291
0,70,3.5e-06,2.40615,2.61132,3.09182,1,-0.00289153,0,0.00965482,0.00951743,0,0.01,0.871795,17607.2,1,1,77.3094,0.999683,77.2849,16.0441,0.124656,536,2.40612
0,71,3.55e-06,2.29365,3.17752,3.09182,1,-0.00286122,0,0.0095536,0.00922669,0,0.01,0.873418,17605.5,1,1,145.327,0.999896,145.312,14.9676,0.133622,554.5,2.29362
0,72,3.6e-06,3.76087,3.17752,3.09182,1,-0.00266714,0,0.00891916,0.00877546,0,0.01,0.875,17603.8,1,1,211.515,0.999818,211.477,15.6827,0.127529,103,3.76084
0,73,3.65e-06,2.5256,1.59177,3.09182,1,-0.00266282,0,0.00889394,0.00892929,0,0.01,0.876543,17602.4,1,1,150.066,0.999902,150.051,16.0332,0.124741,484.5,2.52558
0,74,3.7e-06,1.8898,1.89885,3.09182,1,-0.00290596,0,0.00970104,0.00926127,0,0.01,0.878049,17602,1,1,30.9533,0.999592,30.9407,15.3039,0.130686,681,1.88977
0,75,3.75e-06,2.03536,1.89885,3.09182,1,-0.00282518,0,0.00943137,0.00896701,0,0.01,0.879518,17602.9,1,1,42.4333,0.999516,42.4128,15.5297,0.128786,623,2.03533
0,76,3.8e-06,1.81149,1.50971,3.09182,1,-0.0027625,0,0.00922197,0.00902339,0,0.01,0.880952,17604.3,1,1,31.4469,0.99967,31.4366,14.961,0.133681,727,1.81147
0,77,3.85e-06,2.6944,2.94345,3.09182,1,-0.00288325,0,0.00962564,0.00921534,0,0.01,0.882353,17602.5,1,1,79.3347,0.999666,79.3082,15.0686,0.132726,422.5,2.69437
0,78,3.9e-06,2.02431,2.94345,3.09182,1,-0.00268738,0,0.00897189,0.00882958,0,0.01,0.883721,17605.3,1,1,79.2131,0.999822,79.199,16.0067,0.124948,637.5,2.02429
0,79,3.95e-06,1.95166,1.37523,3.09182,1,-0.00288151,0,0.00961873,0.00909362,0,0.01,0.885057,17605.6,1,1,79.606,0.999908,79.5986,15.8571,0.126127,650,1.95163
0,80,4e-06,2.69169,1.37523,3.202,1,-0.00282242,0,0.00942332,0.00893906,0,0.01,0.886364,17604.7,1,1,139.401,0.99984,139.378,15.3421,0.13036,391,2.69166
0,81,4.05e-06,1.96869,1.37523,1.55339,1,-0.00284442,0,0.0094957,0.00924845,0,0.01,0.88764,17608.6,1,1,62.2318,0.999875,62.2241,15.1127,0.132339,643.5,1.96866
0,82,4.1e-06,2.18064,1.40182,1.55339,1,-0.00259057,0,0.00864911,0.00885057,0,0.01,0.888889,17606.1,1,1,110.697,0.999881,110.684,15.6938,0.127439,574,2.18061
0,83,4.15e-06,2.98994,1.40182,1.55339,1,-0.00271535,0,0.00906627,0.00888678,0,0.01,0.89011,17607.9,1,1,220.117,0.999891,220.093,15.9197,0.12563,255,2.98991
0,84,4.2e-06,2.70496,2.90085,1.55339,1,-0.0030003,0,0.010016,0.00930594,0,0.01,0.891304,17605.2,1,1,120.156,0.999844,120.138,15.8324,0.126324,370.5,2.70493
0,85,4.25e-06,2.97546,2.90085,3.2003,1,-0.0030158,0,0.0100686,0.00911423,0,0.01,0.892473,17602.9,1,1,95.5961,0.999599,95.5578,16.1226,0.124049,274.5,2.97543
0,86,4.3e-06,2.34616,2.32458,3.2003,1,-0.00321047,0,0.0107171,0.00948417,0,0.01,0.893617,17600.8,1,1,155.786,0.999946,155.778,16.0308,0.12476,473,2.34612
0,87,4.35e-06,2.04602,1.69498,2.39705,1,-0.00314983,0,0.0105144,0.00934386,0,0.01,0.894737,17604.5,1,1,95.9419,0.999923,95.9346,15.1645,0.131887,597,2.04599
0,88,4.4e-06,2.00288,1.69498,2.39705,1,-0.00292206,0,0.0097545,0.00914943,0,0.01,0.895833,17605.3,1,1,117.829,0.999955,117.823,15.7612,0.126894,615.5,2.00285
0,89,4.45e-06,2.46115,3.52094,2.39705,1,-0.00266822,0,0.00891113,0.00860517,0,0.01,0.896907,17606.3,1,1,158.947,0.999924,158.935,15.188,0.131683,466,2.46112
0,90,4.5e-06,1.50541,3.52094,2.39705,1,-0.0027477,0,0.00917138,0.00866727,0,0.01,0.897959,17602.2,1,1,24.7564,0.99982,24.752,15.6365,0.127906,794,1.50538
0,91,4.55e-06,2.58298,3.52094,2.66158,1,-0.00291024,0,0.00971434,0.008969,0,0.01,0.89899,17602.5,1,1,182.191,0.999941,182.18,15.4191,0.129709,402,2.58295
0,92,4.6e-06,2.17231,1.87029,2.66158,1,-0.00273692,0,0.00913548,0.00870844,0,0.01,0.9,17608.9,1,1,86.8115,0.99985,86.7985,15.639,0.127885,541,2.17229
0,93,4.65e-06,2.37189,1.9924,2.66158,1,-0.00273192,0,0.00911857,0.00862609,0,0.01,0.90099,17605.9,1,1,53.1138,0.99959,53.0921,15.4878,0.129134,467.5,2.37187
0,94,4.7e-06,1.78025,1.9924,2.66158,1,-0.00250547,0,0.00836297,0.00847226,0,0.01,0.901961,17605.3,1,1,33.5532,0.999818,33.5471,15.5988,0.128215,709.5,1.78023
0,95,4.75e-06,2.07844,2.65299,1.50389,1,-0.002624,0,0.00875827,0.00842331,0,0.01,0.902913,17601.8,1,1,27.7818,0.999075,27.7561,15.7069,0.127332,567.5,2.07841
0,96,4.8e-06,2.53077,2.9972,1.50389,1,-0.00264798,0,0.00883899,0.00829591,0,0.01,0.903846,17600.5,1,1,147.28,0.999904,147.266,15.6972,0.127411,402,2.53075
0,97,4.85e-06,2.25873,2.9972,1.50389,1,-0.00263807,0,0.00880505,0.00839378,0,0.01,0.904762,17603.9,1,1,35.4216,0.999291,35.3965,14.9489,0.133789,508.5,2.2587
0,98,4.9e-06,2.2713,3.06449,1.50389,1,-0.00263459,0,0.00879437,0.00828036,0,0.01,0.90566,17602.7,1,1,173.145,0.999933,173.133,15.3175,0.13057,501.5,2.27128
0,99,4.95e-06,2.70581,2.91864,1.50389,1,-0.00283039,0,0.00944767,0.00847653,0,0.01,0.906542,17604.6,1,1,194.778,0.999909,194.76,15.4656,0.129319,267.5,2.70578
0,100,5e-06,2.3317,1.24561,1.50389,1,-0.00246068,0,0.00821622,0.00809154,0,0.01,0.907407,17603.9,1,1,168.474,0.999924,168.461,15.5849,0.128329,488.5,2.33167
0,101,5.05e-06,2.05818,2.24782,1.86855,1,-0.0028882,0,0.00963958,0.00864719,0,0.01,0.908257,17603.3,1,1,83.0771,0.999884,83.0674,15.2833,0.130862,529,2.05815
0,102,5.1e-06,2.30028,2.24782,1.86855,1,-0.00256001,0,0.00854738,0.00812926,0,0.01,0.909091,17601.2,1,1,200.286,0.99994,200.274,14.9102,0.134137,489,2.30025
0,103,5.15e-06,2.88117,2.63865,1.86855,1,-0.00286606,0,0.00956634,0.00820728,0,0.01,0.90991,17604,1,1,153.734,0.999847,153.71,15.0805,0.132622,235.5,2.88114
