epoch,step,lr,cfm,cfm_cohort_BraTS-GLI,cfm_cohort_LUMIERE,cfm_weight,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,contrastive_weight,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,40,2e-06,3.99102,2.24705,2.3651,1,-0.00332438,0,0.0111136,0.011505,0,0.01,0.791667,13320.4,1,1,4.55806,0.0330217,0.150515,13.9761,0.143102,380.5,3.99099
0,41,2.05e-06,3.49619,2.24705,4.37347,1,-0.0036475,0,0.0121969,0.0121388,0,0.01,0.795918,13320.4,1,1,4.51761,0.0420364,0.189904,14.0277,0.142576,524.5,3.49615
0,42,2.1e-06,2.53282,2.94878,4.37347,1,-0.00360048,0,0.0120412,0.0122248,0,0.01,0.8,13320.4,1,1,3.25996,0.0494312,0.161144,14.1338,0.141505,648.5,2.53278
0,43,2.15e-06,3.52047,1.49307,5.54787,1,-0.00340381,0,0.0113759,0.0112112,0,0.01,0.803922,13320.4,1,1,4.08386,0.0355137,0.145033,14.0503,0.142346,524,3.52044
0,44,2.2e-06,3.67201,4.92929,2.41472,1,-0.00360811,0,0.0120639,0.0119168,0,0.01,0.807692,13320.4,1,1,4.6063,0.0405786,0.186917,13.6356,0.146675,480.5,3.67197
0,45,2.25e-06,4.32847,3.13409,2.41472,1,-0.00346358,0,0.0115793,0.0116627,0,0.01,0.811321,13320.4,1,1,5.48711,0.0325202,0.178442,14.2396,0.140453,293,4.32844
0,46,2.3e-06,3.30371,3.13409,2.41472,1,-0.00353839,0,0.0118316,0.0120145,0,0.01,0.814815,13320.4,1,1,4.18215,0.0420523,0.175869,14.0175,0.142679,545,3.30367
0,47,2.35e-06,3.17161,2.51541,3.82782,1,-0.00353634,0,0.0118275,0.0121942,0,0.01,0.818182,13320.4,1,1,4.27777,0.042407,0.181407,13.9732,0.143131,545,3.17158
0,48,2.4e-06,4.82516,5.41075,3.82782,1,-0.00348823,0,0.0116612,0.0116542,0,0.01,0.821429,13320.4,1,1,6.32823,0.0317667,0.201027,14.1592,0.141251,232.5,4.82513
0,49,2.45e-06,1.98937,5.41075,3.82782,1,-0.00343216,0,0.0114754,0.0117242,0,0.01,0.824561,13320.4,1,1,2.4565,0.0557315,0.136904,13.9,0.143884,806.5,1.98934
0,50,2.5e-06,2.68246,5.41075,3.82782,1,-0.00360738,0,0.0120632,0.0121165,0,0.01,0.827586,13320.4,1,1,3.49137,0.0474996,0.165839,13.8771,0.144123,649,2.68242
0,51,2.55e-06,2.86549,2.91786,3.82782,1,-0.00364261,0,0.0121815,0.0122176,0,0.01,0.830508,13320.4,1,1,3.73658,0.0470638,0.175858,13.7806,0.145132,612.5,2.86545
0,52,2.6e-06,3.66546,2.91786,3.82782,1,-0.00351886,0,0.011764,0.0116849,0,0.01,0.833333,13320.4,1,1,4.46038,0.0378415,0.168787,13.7528,0.145425,448,3.66543
0,53,2.65e-06,1.93074,2.91786,3.82782,1,-0.00344329,0,0.0115115,0.0116429,0,0.01,0.836066,13320.4,1,1,2.42422,0.0553498,0.13418,13.8301,0.144612,834.5,1.93071
0,54,2.7e-06,2.54195,2.91786,3.82782,1,-0.00347441,0,0.0116161,0.0116993,0,0.01,0.83871,13320.4,1,1,3.33173,0.0478353,0.159374,13.789,0.145043,734.5,2.54191
0,55,2.75e-06,4.95263,4.92195,3.82782,1,-0.00359841,0,0.0120296,0.0118155,0,0.01,0.84127,13320.4,1,1,6.54647,0.0326229,0.213565,13.9629,0.143237,232,4.95259
0,56,2.8e-06,3.90227,4.78405,3.02048,1,-0.00364787,0,0.0121978,0.0120733,0,0.01,0.84375,13320.4,1,1,5.21907,0.0382399,0.199577,13.8117,0.144805,429,3.90223
0,57,2.85e-06,3.98237,2.65301,3.02048,1,-0.00343073,0,0.0114715,0.011866,0,0.01,0.846154,13320.4,1,1,5.22893,0.0355598,0.18594,13.3187,0.150165,420.5,3.98234
0,58,2.9e-06,4.07265,4.71449,3.02048,1,-0.00375002,0,0.0125393,0.012222,0,0.01,0.848485,13320.4,1,1,5.7651,0.0368413,0.212394,14.1591,0.141252,406,4.07261
0,59,2.95e-06,4.08532,5.45193,2.71871,1,-0.00333996,0,0.0111675,0.0117144,0,0.01,0.850746,13320.4,1,1,5.48731,0.0310633,0.170454,14.0678,0.142169,338.5,4.08529
0,60,3e-06,3.86824,4.28802,2.71871,1,-0.00367341,0,0.0122836,0.0122471,0,0.01,0.852941,13320.4,1,1,5.58805,0.0371401,0.207541,13.7893,0.14504,426.5,3.86821
0,61,3.05e-06,3.09529,2.07633,2.71871,1,-0.00364218,0,0.0121779,0.0119923,0,0.01,0.855072,13320.4,1,1,4.05773,0.0438429,0.177903,13.7694,0.145249,595,3.09525
0,62,3.1e-06,4.11894,3.24337,2.71871,1,-0.00363253,0,0.0121447,0.0119292,0,0.01,0.857143,13320.4,1,1,5.56413,0.0358837,0.199662,13.7135,0.145842,375.5,4.11891
0,63,3.15e-06,3.70437,5.27984,2.71871,1,-0.00350439,0,0.0117147,0.0116066,0,0.01,0.859155,13320.4,1,1,4.67886,0.0356422,0.166765,13.8569,0.144332,435,3.70434
0,64,3.2e-06,2.43674,3.27218,2.71871,1,-0.00347837,0,0.0116298,0.0117837,0,0.01,0.861111,13320.4,1,1,3.35858,0.0466131,0.156554,13.8764,0.144129,724,2.4367
0,65,3.25e-06,4.60857,4.33698,2.71871,1,-0.00347383,0,0.0116155,0.011952,0,0.01,0.863014,13320.4,1,1,6.69246,0.0330759,0.221359,13.9013,0.143872,320,4.60853
