epoch,step,lr,cfm,contrastive,contrastive/bg_cap_hit_frac,contrastive/delta_abs_mean_in,contrastive/delta_abs_mean_out,contrastive/roi_cap_hit_frac,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,52,2.6e-06,2.70924,-0.00336883,0,0.0112485,0.0101312,0,0.833333,17603,1,1,60.5501,0.998978,60.4882,16.3742,0.122144,448,2.7092
0,53,2.65e-06,1.5476,-0.00325869,0,0.0108822,0.0104622,0,0.836066,17605.5,1,1,236.721,0.999989,236.719,16.35,0.122324,834.5,1.54757
0,54,2.7e-06,1.99252,-0.00334864,0,0.0111826,0.0104748,0,0.83871,17602.7,1,1,179.884,0.999972,179.878,16.2883,0.122788,734.5,1.99249
0,55,2.75e-06,3.62502,-0.00346017,0,0.0115532,0.0101933,0,0.84127,17601.5,1,1,369.192,0.999945,369.172,15.7927,0.12664,232,3.62499
0,56,2.8e-06,2.85558,-0.00346337,0,0.0115654,0.0105494,0,0.84375,17604.2,1,1,187.299,0.999902,187.28,15.9212,0.125619,429,2.85554
0,57,2.85e-06,2.7741,-0.00337931,0,0.0112846,0.010202,0,0.846154,17600.7,1,1,79.9791,0.999516,79.9404,16.2213,0.123295,420.5,2.77407
0,58,2.9e-06,2.91591,-0.00344883,0,0.0115171,0.0105168,0,0.848485,17599.7,1,1,188.872,0.99989,188.851,15.7622,0.126886,406,2.91588
0,59,2.95e-06,3.17964,-0.00313797,0,0.0104844,0.00979469,0,0.850746,17598.5,1,1,213.453,0.999859,213.422,16.2929,0.122753,338.5,3.17961
0,60,3e-06,2.7182,-0.00357657,0,0.011944,0.0107493,0,0.852941,17599.8,1,1,193.351,0.999921,193.336,15.8093,0.126508,426.5,2.71816
0,61,3.05e-06,2.21099,-0.00347794,0,0.0116136,0.0104782,0,0.855072,17597,1,1,124.513,0.999927,124.504,15.9378,0.125488,595,2.21095
0,62,3.1e-06,2.96314,-0.00337143,0,0.0112589,0.010058,0,0.857143,17603.3,1,1,129.996,0.99976,129.965,15.9634,0.125287,375.5,2.9631
0,63,3.15e-06,2.82669,-0.00315588,0,0.0105435,0.00977845,0,0.859155,17600.8,1,1,117.485,0.999762,117.457,16.1221,0.124053,435,2.82666
0,64,3.2e-06,1.81797,-0.00344122,0,0.0114928,0.0107042,0,0.861111,17601.1,1,1,266.239,0.999986,266.235,16.1696,0.123689,724,1.81793
0,65,3.25e-06,3.09295,-0.0035615,0,0.0118926,0.0102221,0,0.863014,17602.3,1,1,95.1586,0.999619,95.1223,16.2825,0.122831,320,3.09291
0,66,3.3e-06,1.84424,-0.00337808,0,0.0112812,0.0105562,0,0.864865,17602,1,1,159.67,0.999973,159.666,16.1931,0.12351,678,1.8442
0,67,3.35e-06,2.41895,-0.00346698,0,0.0115752,0.0102213,0,0.866667,17601.8,1,1,107.491,0.999873,107.477,16.2684,0.122937,529,2.41892
0,68,3.4e-06,1.96879,-0.00328369,0,0.0109636,0.0101035,0,0.868421,17603.9,1,1,27.1773,0.999288,27.1579,16.1509,0.123832,665,1.96876
0,69,3.45e-06,2.48027,-0.00305819,0,0.0102122,0.0101022,0,0.87013,17604,1,1,125.509,0.999882,125.494,16.2429,0.123131,471,2.48024
0,70,3.5e-06,2.37658,-0.00299682,0,0.010007,0.00976957,0,0.871795,17605.4,1,1,86.4717,0.999756,86.4506,16.211,0.123373,536,2.37655
0,71,3.55e-06,2.26638,-0.00291839,0,0.00974492,0.00941356,0,0.873418,17610.5,1,1,140.343,0.999887,140.328,16.1432,0.123891,554.5,2.26635
0,72,3.6e-06,3.81255,-0.00276818,0,0.00925904,0.00886698,0,0.875,17604.3,1,1,334.864,0.999928,334.84,15.9462,0.125422,103,3.81252
0,73,3.65e-06,2.554,-0.00280314,0,0.00936313,0.00910532,0,0.876543,17603.5,1,1,136.734,0.999891,136.719,16.2449,0.123115,484.5,2.55397
