epoch,step,lr,cfm,ema_decay,gpu_mem_peak_mb,grad_clip_active,grad_norm_cn_postclip,grad_norm_cn_preclip,grad_norm_trunk_postclip,grad_norm_trunk_preclip,samples_per_sec,step_time_sec,t_mean,total
0,190,9.5e-06,1.73554,0.949495,11465.4,1,1,96.2065,0.999963,96.203,29.8121,0.0670868,687,1.73554
0,191,9.55e-06,2.16907,0.949749,11466.6,1,1,208.784,0.999961,208.776,29.8218,0.0670651,402,2.16907
0,192,9.6e-06,1.57447,0.95,11465.3,1,1,22.3463,0.9999,22.344,30.2317,0.0661556,766.5,1.57447
0,193,9.65e-06,1.86039,0.950249,11465.1,1,1,34.3087,0.999958,34.3073,29.6712,0.0674055,595.5,1.86039
0,194,9.7e-06,1.37557,0.950495,11468,1,1,10.8434,0.999089,10.8335,30.4643,0.0656507,891.5,1.37557
0,195,9.75e-06,2.22014,0.950739,11465.8,1,1,264.964,0.99996,264.954,30.0092,0.0666462,404.5,2.22014
0,196,9.8e-06,2.07718,0.95098,11463.8,1,1,51.4221,0.999929,51.4185,29.061,0.0688207,480.5,2.07718
0,197,9.85e-06,2.32782,0.951219,11462.8,1,1,235.278,0.999957,235.268,29.8684,0.0669604,317.5,2.32782
0,198,9.9e-06,2.22713,0.951456,11462.5,1,1,73.4639,0.999927,73.4585,29.4547,0.067901,351,2.22713
0,199,9.95e-06,1.36764,0.951691,11457.9,1,1,7.55227,0.998558,7.54138,29.8283,0.0670505,881,1.36764
0,200,1e-05,1.93199,0.951923,11465.3,1,1,58.6033,0.99996,58.6009,29.6774,0.0673914,532.5,1.93199
0,201,1.005e-05,1.76349,0.952153,11466,1,1,51.8396,0.999966,51.8379,29.8417,0.0670203,659,1.76349
0,202,1.01e-05,2.05226,0.952381,11462,1,1,33.0237,0.999835,33.0182,29.7582,0.0672085,468,2.05226
0,203,1.015e-05,1.73223,0.952607,11467.2,1,1,6.84605,0.999602,6.84333,30.1799,0.0662692,658,1.73223
0,204,1.02e-05,1.85898,0.95283,11467.2,1,1,88.6617,0.999955,88.6577,29.2918,0.0682784,580.5,1.85898
0,205,1.025e-05,2.00303,0.953052,11465.5,1,1,31.7227,0.999817,31.7169,29.6627,0.0674247,460.5,2.00303
0,206,1.03e-05,2.03405,0.953271,11468,1,1,272.73,0.999959,272.718,30.4208,0.0657445,509,2.03405
0,207,1.035e-05,1.6748,0.953488,11464,1,1,19.2174,0.999929,19.216,29.5544,0.0676718,719,1.6748
0,208,1.04e-05,1.52675,0.953704,11463.3,1,1,4.37382,0.998688,4.36808,30.3216,0.0659596,751.5,1.52675
0,209,1.045e-05,1.59435,0.953917,11464.7,1,1,6.85263,0.999445,6.84882,30.3106,0.0659834,727.5,1.59435
0,210,1.05e-05,2.25817,0.954128,11464.1,1,1,86.9966,0.999915,86.9892,30.5983,0.0653631,349,2.25817
0,211,1.055e-05,2.49868,0.954338,11466.2,1,1,262.993,0.999955,262.981,30.4247,0.0657362,251.5,2.49868
0,212,1.06e-05,1.30813,0.954545,11465.4,1,1,9.88733,0.999261,9.88002,30.1223,0.0663961,851,1.30813
0,213,1.065e-05,1.93848,0.954751,11463.1,1,1,123.779,0.999954,123.773,29.8443,0.0670144,557,1.93848
0,214,1.07e-05,2.16121,0.954955,11466.3,1,1,69.6457,0.999887,69.6378,29.7339,0.0672633,448,2.16121
0,215,1.075e-05,2.38496,0.955157,11463.1,1,1,35.6426,0.999302,35.6177,30.1539,0.0663265,281,2.38496
0,216,1.08e-05,2.309,0.955357,11463,1,1,138.512,0.999944,138.504,25.7921,0.0775431,299.5,2.309
0,217,1.085e-05,1.67078,0.955556,11466.6,1,1,24.0059,0.999937,24.0044,30.5107,0.0655508,717.5,1.67078
0,218,1.09e-05,2.01325,0.955752,11462,1,1,33.1486,0.999579,33.1347,30.3065,0.0659925,509,2.01325
0,219,1.095e-05,2.23313,0.955947,11463.2,1,1,121.987,0.99996,121.982,29.04,0.0688705,420.5,2.23313
